# Stack: robot|Calibration (frames=51, fps=50.000)
time=0.140000s frame=7 bone=RL_calf_joint angle_deg=-150.241574
time=0.140000s frame=7 bone=FR_hip_joint angle_deg=-53.602685
time=0.140000s frame=7 bone=FR_thigh_joint angle_deg=-74.536575
time=0.140000s frame=7 bone=FR_calf_joint angle_deg=-150.241559
time=0.140000s frame=7 bone=FL_hip_joint angle_deg=-53.602693
time=0.140000s frame=7 bone=FL_thigh_joint angle_deg=-74.538002
time=0.140000s frame=7 bone=FL_calf_joint angle_deg=-150.241575
time=0.160000s frame=8 bone=RR_hip_joint angle_deg=-51.767167
time=0.160000s frame=8 bone=RR_thigh_joint angle_deg=-10.103571
time=0.160000s frame=8 bone=RR_calf_joint angle_deg=-148.589610
time=0.160000s frame=8 bone=RL_hip_joint angle_deg=-51.767163
time=0.160000s frame=8 bone=RL_thigh_joint angle_deg=-10.103580
time=0.160000s frame=8 bone=RL_calf_joint angle_deg=-148.589626
time=0.160000s frame=8 bone=FR_hip_joint angle_deg=-51.767167
time=0.160000s frame=8 bone=FR_thigh_joint angle_deg=-70.100675
time=0.160000s frame=8 bone=FR_calf_joint angle_deg=-148.589628
time=0.160000s frame=8 bone=FL_hip_joint angle_deg=-51.767163
time=0.160000s frame=8 bone=FL_thigh_joint angle_deg=-70.102106
time=0.160000s frame=8 bone=FL_calf_joint angle_deg=-148.589612
time=0.180000s frame=9 bone=RR_hip_joint angle_deg=-49.735795
time=0.180000s frame=9 bone=RR_thigh_joint angle_deg=-5.194406
time=0.180000s frame=9 bone=RR_calf_joint angle_deg=-146.761410
time=0.180000s frame=9 bone=RL_hip_joint angle_deg=-49.735799
time=0.180000s frame=9 bone=RL_thigh_joint angle_deg=-5.194392
time=0.180000s frame=9 bone=RL_calf_joint angle_deg=-146.761427
time=0.180000s frame=9 bone=FR_hip_joint angle_deg=-49.735795
time=0.180000s frame=9 bone=FR_thigh_joint angle_deg=-65.191430
time=0.180000s frame=9 bone=FR_calf_joint angle_deg=-146.761410
time=0.180000s frame=9 bone=FL_hip_joint angle_deg=-49.735799
time=0.180000s frame=9 bone=FL_thigh_joint angle_deg=-65.192896
time=0.180000s frame=9 bone=FL_calf_joint angle_deg=-146.761411
time=0.200000s frame=10 bone=RR_hip_joint angle_deg=-47.520116
time=0.200000s frame=10 bone=RR_thigh_joint angle_deg=0.160223
time=0.200000s frame=10 bone=RR_calf_joint angle_deg=-144.767331
time=0.200000s frame=10 bone=RL_hip_joint angle_deg=-47.520116
time=0.200000s frame=10 bone=RL_thigh_joint angle_deg=0.160202
time=0.200000s frame=10 bone=RL_calf_joint angle_deg=-144.767316
time=0.200000s frame=10 bone=FR_hip_joint angle_deg=-47.520116
time=0.200000s frame=10 bone=FR_thigh_joint angle_deg=-59.836766
time=0.200000s frame=10 bone=FR_calf_joint angle_deg=-144.767315
time=0.200000s frame=10 bone=FL_hip_joint angle_deg=-47.520116
time=0.200000s frame=10 bone=FL_thigh_joint angle_deg=-59.838259
time=0.200000s frame=10 bone=FL_calf_joint angle_deg=-144.767301
time=0.220000s frame=11 bone=RR_hip_joint angle_deg=-45.131627
time=0.220000s frame=11 bone=RR_thigh_joint angle_deg=5.932425
time=0.220000s frame=11 bone=RR_calf_joint angle_deg=-142.617688
time=0.220000s frame=11 bone=RL_hip_joint angle_deg=-45.131631
time=0.220000s frame=11 bone=RL_thigh_joint angle_deg=5.932408
time=0.220000s frame=11 bone=RL_calf_joint angle_deg=-142.617719
